# n,count
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.780000000000000000e+02
3.000000000000000000e+00,1.975000000000000000e+03
4.000000000000000000e+00,4.774000000000000000e+03
5.000000000000000000e+00,4.574000000000000000e+03
6.000000000000000000e+00,2.291000000000000000e+03
7.000000000000000000e+00,1.001000000000000000e+03
8.000000000000000000e+00,3.320000000000000000e+02
9.000000000000000000e+00,6.000000000000000000e+01
1.000000000000000000e+01,4.000000000000000000e+00
