# n,count
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,2.330000000000000000e+02
3.000000000000000000e+00,2.340000000000000000e+03
4.000000000000000000e+00,6.798000000000000000e+03
5.000000000000000000e+00,9.813000000000000000e+03
6.000000000000000000e+00,8.755000000000000000e+03
7.000000000000000000e+00,5.578000000000000000e+03
8.000000000000000000e+00,2.115000000000000000e+03
9.000000000000000000e+00,4.940000000000000000e+02
1.000000000000000000e+01,7.600000000000000000e+01
